"1000001","Temple of Aesculapius","Aesculapius","temple","","Tiber Island","Rome","Rome","423025","IT","","","0","-292","-291","-291","","-3","","","","M","January 1","hero","Roman","","","Ziolkowski","","","23444","","","","","Temple_of_Asclepius,_Rome","Q3983243","","","","","","419125SAsc","","","",12.478333,41.890278
"1000002","Temple of Apollo Palatinus","Apollo","temple","","Palatine Hill","Rome","Rome","423025","IT","227","SW","0","","-28","-28","","-1","","","","M","October 9","god","Roman","","","Blake, Stamper","","","","","","8606","","Temple_of_Apollo_Palatinus","Q1236860","","","","","","419125SApP","","","",12.485741,41.888854
"1000003","Temple of Apollo Sosianus/Medicus","Apollo","temple","","Circus Flaminius","Rome","Rome","423025","IT","180","S","0","","-431","-431","","-5","","","","M","June 13","god","Roman","","","Stamper","senate","vici.org; coords modified","15038","740034026","","5665","","Temple_of_Apollo_Sosianus","Q582353","","","","","","419125SApo","","","",12.4795912,41.8923136
"1000004","Temple of Bellona","Bellona","temple","","Circus Flaminius","Rome","Rome","423025","IT","180","S","0","-296","-292-280","-292","-280","-3","","","","F","June 3","god","Roman","","","Ziolkowski","senate","","","","","3467477","","Temple_of_Bellona,_Rome","Q2595680","","","","","","419125SBel","","","",12.47989,41.89238
"1000005","Temple of Bona Dea","Bona Dea","temple","","Lesser Aventine","Rome","Rome","423025","IT","","","0","","","-123","","-2","","","","F","May 1","god","Roman","","","Blake/Ziolkowski","","","","","","","","Temple_of_Bona_Dea","Q541336","","","","","","","","","",12.48979,41.880581
"1000007","Temple of Castor(es)","Castor(es)","temple","forum","Forum","Rome","Rome","423025","IT","24","NE","0","","-484","-484","","-5","","","","M","January 27/July 15","hero","Roman","","","blake","senate","Vici.org","15011","","","5807","","","Q380530","CastorAedes_1","","","","","419125SCas","","","",12.485755,41.891773
"1000008","Temple of Castor and Pollux","Castor, Pollux","temple","","Circus Flaminius","Rome","Rome","423025","IT","30","NE","0","","-179-91","-179","-91","-2","","","","M","August 13","hero","Roman","","","Coarelli","","","","","","4052753","","","","","","","","","","","","",12.477,41.8923
"1000009","Temple of Ceres and Faustina","Ceres, Faustina","temple","","","Rome","Rome","423025","IT","","","0","","","","","","","","","F","","family, god","Roman","","","","","Vici.org, DARE","","422889","22917","","","","","","","","","","","","","",12.524306,41.857844
"1000010","Temple of Ceres, Liber, and Libera","Ceres, Liber, Libera","temple","","Aventine","Rome","Rome","423025","IT","","","1","","-493","-493","","-5","","","","M/F","","god","Roman","","","","","","","","","","","Sanctuary_of_Ceres,_Liber_and_Libera","Q3949870","","","","","","419125SCer","","","",12.482435,41.885303
"1000011","Temple","","temple","","Cessati Spiriti","Rome","Rome","423025","IT","","","0","","","","","","","","","","","","Roman","","","","","DARE","","422892","","","","","","","","","","","","","","",12.533184,41.862522
"1000012","Temple of the Divine Claudius","Claudius","temple","","Caelian Hill","Rome","Rome","423025","IT","247","SW","0","","40-60","40","60","1","","","","M","","emperor","Roman","","","","","","","","","6228","","Temple_of_Claudius","Q523765","","","","","","419125SCla","","","",12.493367,41.887594
"1000013","Temple of Concord","Concord","temple","forum","Forum","Rome","Rome","423025","IT","123","SE","0","","-121","-121","","-2","","","","F","22 July/16 January","concept","Roman","","","Blake","senate","","","","","5742","","","","ConcordiaAedes_1","","","","","419125SCon","","","",12.484245,41.89293
"1000014","Temple of Cybele/Magna Mater","Cybele/Magna Mater","temple","","Palatine Hill","Rome","Rome","423025","IT","203","SW","0","","-191","-191","","-2","","","","F","April 11","god","Roman","","","Stamper","senate","Vici.org","17956","","","9110","","Temple_of_Cybele_(Palatine)","Q383609","","","","","","419125SMMT","","","",12.484984,41.889554
"1000015","Temple of Dea Dia","Dea Dia","temple","","Magliana","Rome","Rome","423025","IT","","","0","","","","","","","","","F","","god","Roman","","","","","DARE","","422916","37153","","","","","","","","","","","","","",12.432137,41.83462
"1000016","Temple of Diana","Diana","temple","","Aventine","Rome","Rome","423025","IT","","","0","","-499-400","-499","-400","-5","","","","F","August 13","god","Roman","","","","","","","","","","","","","","","","","","","","57364","",12.483194,41.882828
"1000017","Temple of the Divine Antoninus and the Divine Faustina","Antoninus, Faustina","temple","forum","Forum","Rome","Rome","423025","IT","217","SW","0","","141","141","","2","","","","M/F","","emperor, family","Roman","","","Blake","","Vici.org","15009","","","5645","","Temple_of_Antoninus_and_Faustina","Q752555","AntoninusetFaustinaTemplum_1","","","","","419125SFas","","","",12.486689,41.892139
"1000018","Temple of the Divine Augustus","Augustus","temple","","","Rome","Rome","423025","IT","","","0","","","","","","","","","M","","emperor","Roman","","","Blake","","","","","","5743","","Temple_of_Divus_Augustus","Q927222","","","","","","419125SDAT","","","",12.484471,41.891616
"1000019","Temple of the Divine Julius","Julius","temple","forum","Forum","Rome","Rome","423025","IT","300","NW","0","","-29","-29","","-1","","","","M","August 18","emperor","Roman","","","Stamper","","","15048","","","5744","","","Q1133288","IuliusDivusAedes_1","","","","","419125SJul","","","",12.486128,41.892019
"1000020","Temple of the Divine Romulus","Romulus","temple","forum","Forum","Rome","Rome","423025","IT","205","SW","0","","","","","","","","","M","","family","Roman","","","","","Vici.org","15044","","","10545","","Temple_of_Romulus","","","","","","","419125SRom","","","",12.487166,41.891846
"1000021","Temple of the Divine Trajan","Trajan","temple","forum","Forum of Trajan","Rome","Rome","423025","IT","","","","","128","128","","2","","","","M","","emperor","Roman","","","Stamper","","","","","","","","","","","","","","","","","","","",""
"1000022","Temple of Elagabal","Sol Invictus Elagabal","temple","hill","Palatine Hill","Rome","Rome","423025","IT","295","NW","0","","221","221","","3","","","","M","","god","Roman","","","","","Vici.org","11503","","","","rome-temple-of-elagabal","Elagabalium","Q969344","","","","","","","","","",12.488894,41.889603
"1000023","Temple of Feronia","Feronia","temple","","Campus Martius","Rome","Rome","423025","IT","90","E","0","-292-219","-292-219","-292","-219","-3","","","","F","November 13","god","Roman","","","Stamper/Ziolkowski","","Pleiades: Temple C","39266","","","5865","","","Q1541068","","","","","","","","","",12.476723,41.895163
"1000024","Temple of Fides","Fides","temple","","Capitoline","Rome","Rome","423025","IT","","","0","","-254","-254","","-3","","","","F","October 1","concept","Roman","","","Ziolkowski","senate","","","","","","","Temple_of_Fides","Q3983246","","","","","","","","","",12.4812,41.8914
"1000025","Temple of Flora","Flora","temple","","Circus Maximus","Rome","Rome","423025","IT","","","","","-240","-240","","-3","","","","F","April 28","nature","Roman","","","","","","","","","","","Temple_of_Flora","Q3983248","","","","","","","","","","",""
"1000026","Temple of Flora","Flora","temple","","Quirinal Hill","Rome","Rome","423025","IT","","","","","-292-219","-292","-219","-3","","","","F","May 3","nature","Roman","","","","","","","","","","","","","","","","","","","","","","",""
"1000027","Temple of Fons/Fontus","Fons/Fontus","temple","","extra portam fontinalem","Rome","Rome","423025","IT","","","","","-231","-231","-219","-3","","","","M","October 13","nature","Roman","","","","","","","","","","","","","","","","","","","","","","",""
"1000028","Temple of Fors Fortuna","Fors Fortuna","temple","","Right bank of Tiber","Rome","Rome","423025","IT","","","","","-293","-292","-280","-3","","","","F","June 24","concept","Roman","","","","","Vici.org","","422925","","","","","","","","","","","","","","","",""
